300052.SZ,open,high,low,close
2015-01-05,20.4100,20.6700,19.6600,20.58
2015-01-06,20.4000,22.4800,20.3100,21.9
2015-01-07,21.6900,21.8200,21.3000,21.45
2015-01-08,21.4500,21.8700,21.0500,21.53
2015-01-09,21.4100,22.2000,21.3200,21.54
2015-01-12,21.4500,22.4500,21.3300,21.89
2015-01-13,21.8000,22.4500,21.4500,22.27
2015-01-14,22.1000,22.1000,21.4300,21.5
2015-01-15,21.4000,21.8600,21.2300,21.29
2015-01-16,21.2900,23.4200,21.2800,23.42
2015-01-19,23.8000,25.7600,23.6300,25.76
2015-01-20,26.1800,27.7200,25.2400,27.18
2015-01-21,27.0000,27.3700,26.1300,26.66
2015-01-22,26.6000,27.8600,26.3200,26.9
2015-01-23,26.4400,26.9800,25.5100,25.85
2015-01-26,25.8500,26.5600,25.7300,26.19
2015-01-27,26.1000,27.0800,25.8000,26.43
2015-01-28,26.3000,26.9600,25.9000,26.31
2015-01-29,26.3800,27.7900,26.1500,26.9
2015-01-30,27.0800,27.7400,25.2800,25.32
2015-02-02,25.3200,25.3200,25.3200,25.32
2015-02-03,24.1200,26.2300,23.8500,25.63
2015-02-04,25.3700,25.6500,24.7700,24.98
2015-02-05,24.9300,27.4800,24.5200,27.48
2015-02-06,27.6000,30.1200,27.3800,28.5
2015-02-09,28.1000,29.9800,26.6600,27.33
2015-02-10,27.3300,28.5600,25.8000,28.1
2015-02-11,27.7800,30.0000,27.5500,29.73
2015-02-12,29.7300,29.7300,28.6000,28.74
2015-02-13,29.0500,29.6400,28.3100,29.15
2015-02-16,29.2800,31.4900,29.1500,30.6
2015-02-17,30.3000,30.6000,29.3000,29.7
2015-02-25,29.5100,29.5300,28.0300,28.34
2015-02-26,28.0000,29.1700,27.7900,28.7
2015-02-27,28.5000,30.9500,28.0500,29.96
2015-03-02,29.1100,30.8000,28.8800,30.11
2015-03-03,29.3000,29.9900,28.5400,28.63
2015-03-04,28.4800,29.9800,28.2500,29.27
2015-03-05,29.0500,31.3700,28.8600,30.63
2015-03-06,30.6200,30.7000,28.8700,28.95
2015-03-09,28.6900,29.9400,28.0300,29.65
2015-03-10,29.5000,31.2600,29.3000,30.32
2015-03-11,29.9900,33.3500,29.2000,33.35
2015-03-12,34.5000,35.1300,32.4100,32.6
2015-03-13,33.0000,34.4800,31.8800,33.87
2015-03-16,34.2900,36.9600,33.8700,35.85
2015-03-17,35.4000,36.6900,34.5000,35.07
2015-03-18,35.0800,35.6800,34.0000,35.05
2015-03-19,34.5000,35.3800,34.1000,34.81
2015-03-20,34.8200,35.8900,34.0200,34.31
2015-03-23,34.1200,35.3500,33.6400,35.07
2015-03-24,35.1100,36.7000,33.4500,36.17
2015-03-25,36.0000,36.1800,34.8100,34.98
2015-03-26,34.2200,34.2800,31.5500,32.06
2015-03-27,32.0000,33.1000,31.9000,32.75
2015-03-30,32.7000,33.0000,31.2000,31.82
2015-03-31,31.8500,32.8000,31.8200,32.29
2015-04-01,32.4500,33.0500,32.3700,33.05
2015-04-02,33.0500,33.0500,33.0500,33.05
2015-04-03,32.1000,33.3500,31.2500,33.25
2015-04-07,33.2600,34.7900,32.8200,34.7
2015-04-08,34.7500,34.9800,32.2800,33.38
2015-04-09,33.3800,33.3800,30.0700,31.66
2015-04-10,31.0000,32.3200,30.8000,31.67
2015-04-13,31.7800,32.1800,31.2100,31.87
2015-04-14,31.7100,31.9700,30.6900,30.77
2015-04-15,30.7800,31.9000,29.6600,30.96
2015-04-16,30.0000,31.8800,29.7500,31
2015-04-17,30.3000,31.3600,30.2000,30.54
2015-04-20,30.1000,31.8700,29.6600,31.77
2015-04-21,31.3100,33.5000,31.3000,33.1
2015-04-22,33.5000,34.7000,32.9000,33.15
2015-04-23,32.7000,33.9800,32.5000,33.18
2015-04-24,33.0900,33.2900,31.9800,32.2
2015-04-27,31.6500,32.7100,31.6000,31.72
2015-04-28,31.7200,31.9900,29.7200,30.01
2015-04-29,29.8500,31.2600,29.8300,31
2015-04-30,30.8500,33.9500,30.8500,33.05
2015-05-04,32.7600,33.8900,32.2000,32.69
2015-05-05,32.6000,32.9100,31.0500,31.29
2015-05-06,30.7100,34.3800,30.7100,33.5
2015-05-07,33.4000,34.8600,33.0000,33.49
2015-05-08,34.1400,36.6500,33.1000,35.88
2015-05-11,35.8700,38.8900,34.6000,37
2015-05-12,36.5300,37.5800,35.5800,36.9
2015-05-13,36.0900,40.2500,34.4300,38.9
2015-05-14,38.4900,41.3900,38.0800,38.32
2015-05-15,37.5300,37.5300,35.9800,36.38
2015-05-18,36.7000,38.5300,36.6400,37.94
2015-05-19,37.5100,38.4800,36.3100,37.18
2015-05-20,37.4800,39.6300,37.0200,38.32
2015-05-21,38.3500,41.1000,38.3300,40.7
2015-05-22,41.4600,41.9000,38.4500,38.97
2015-05-25,38.0000,39.2000,37.0300,39.11
2015-05-26,39.2900,43.0200,39.0000,42.93
2015-05-27,42.2000,44.5000,40.9900,43.82
2015-05-28,43.2000,45.4600,39.8800,39.88
2015-05-29,39.1100,43.8700,37.5100,43.87
2015-06-01,43.0000,46.8500,42.6000,45.6
2015-06-02,45.0000,46.8800,44.2600,46.6
2015-06-03,46.7800,46.8000,43.0100,44.33
2015-06-04,44.6000,45.6500,40.0500,42.92
2015-06-05,42.9200,45.2700,41.5000,43.79
2015-06-08,43.0000,43.3500,40.0000,41.9
2015-06-09,41.7000,44.0000,40.9300,44
2015-06-10,42.9000,45.7500,42.3500,44
2015-06-11,44.0000,48.4000,43.0000,48.4
2015-06-12,49.0000,49.1200,46.0000,46
2015-06-15,46.0000,46.7600,43.2600,43.49
2015-06-16,42.2500,45.8400,40.1100,45.2
2015-06-17,44.0000,49.5000,42.5500,46.9
2015-06-18,46.0100,47.4900,42.2100,42.21
2015-06-19,40.7600,41.4000,38.0200,38.7
2015-06-23,39.4800,40.3000,34.9700,39.32
2015-06-24,39.1400,39.9200,37.0000,38.51
2015-06-25,38.5400,40.0100,36.5200,38.15
2015-06-26,37.3000,37.3800,34.3400,34.34
2015-06-29,34.8000,34.8000,30.9100,30.91
2015-06-30,28.0000,33.1200,27.8200,31.9
2015-07-01,31.2700,32.8400,28.7100,28.71
2015-07-02,27.0000,28.7100,25.8400,25.84
2015-07-03,23.3000,25.8500,23.2600,23.26
2015-07-06,25.0000,25.0000,20.9300,22
2015-07-07,22.0000,22.0000,22.0000,22
2015-07-08,22.0000,22.0000,22.0000,22
2015-07-09,22.0000,22.0000,22.0000,22
2015-07-10,22.0000,22.0000,22.0000,22
2015-07-13,22.0000,22.0000,22.0000,22
2015-07-14,22.0000,22.0000,22.0000,22
2015-07-15,22.0000,22.0000,22.0000,22
2015-07-16,22.0000,22.0000,22.0000,22
2015-07-17,22.0000,22.0000,22.0000,22
2015-07-20,22.0000,22.0000,22.0000,22
2015-07-21,22.0000,22.0000,22.0000,22
2015-07-22,22.0000,22.0000,22.0000,22
2015-07-23,22.0000,22.0000,22.0000,22
2015-07-24,22.0000,22.0000,22.0000,22
2015-07-27,22.0000,22.0000,22.0000,22
2015-07-28,22.0000,22.0000,22.0000,22
2015-07-29,22.0000,22.0000,22.0000,22
2015-07-30,22.0000,22.0000,22.0000,22
2015-07-31,22.0000,22.0000,22.0000,22
2015-08-03,22.0000,22.0000,22.0000,22
2015-08-04,22.0000,22.0000,22.0000,22
2015-08-05,22.0000,22.0000,22.0000,22
2015-08-06,22.0000,22.0000,22.0000,22
2015-08-07,22.0000,22.0000,22.0000,22
2015-08-10,22.0000,22.0000,22.0000,22
2015-08-11,22.0000,22.0000,22.0000,22
2015-08-12,22.0000,22.0000,22.0000,22
2015-08-13,22.0000,22.0000,22.0000,22
2015-08-14,22.0000,22.0000,22.0000,22
2015-08-17,22.0000,22.0000,22.0000,22
2015-08-18,22.0000,22.0000,22.0000,22
2015-08-19,22.0000,22.0000,22.0000,22
2015-08-20,22.0000,22.0000,22.0000,22
2015-08-21,22.0000,22.0000,22.0000,22
2015-08-24,22.0000,22.0000,22.0000,22
2015-08-25,22.0000,22.0000,22.0000,22
2015-08-26,22.0000,22.0000,22.0000,22
2015-08-27,22.0000,22.0000,22.0000,22
2015-08-28,22.0000,22.0000,22.0000,22
2015-08-31,22.0000,22.0000,22.0000,22
2015-09-01,22.0000,22.0000,22.0000,22
2015-09-02,22.0000,22.0000,22.0000,22
2015-09-07,22.0000,22.0000,22.0000,22
2015-09-08,22.0000,22.0000,22.0000,22
2015-09-09,22.0000,22.0000,22.0000,22
2015-09-10,22.0000,22.0000,22.0000,22
2015-09-11,22.0000,22.0000,22.0000,22
2015-09-14,22.0000,22.0000,22.0000,22
2015-09-15,22.0000,22.0000,22.0000,22
2015-09-16,22.0000,22.0000,22.0000,22
2015-09-17,22.0000,22.0000,22.0000,22
2015-09-18,22.0000,22.0000,22.0000,22
2015-09-21,22.0000,22.0000,22.0000,22
2015-09-22,22.0000,22.0000,22.0000,22
2015-09-23,22.0000,22.0000,22.0000,22
2015-09-24,22.0000,22.0000,22.0000,22
2015-09-25,22.0000,22.0000,22.0000,22
2015-09-28,22.0000,22.0000,22.0000,22
2015-09-29,22.0000,22.0000,22.0000,22
2015-09-30,22.0000,22.0000,22.0000,22
2015-10-08,22.0000,22.0000,22.0000,22
2015-10-09,22.0000,22.0000,22.0000,22
2015-10-12,22.0000,22.0000,22.0000,22
2015-10-13,22.0000,22.0000,22.0000,22
2015-10-14,22.0000,22.0000,22.0000,22
2015-10-15,22.0000,22.0000,22.0000,22
2015-10-16,22.0000,22.0000,22.0000,22
2015-10-19,22.0000,22.0000,22.0000,22
2015-10-20,22.0000,22.0000,22.0000,22
2015-10-21,22.0000,22.0000,22.0000,22
2015-10-22,24.2000,24.2000,24.2000,24.2
2015-10-23,26.6200,26.6200,26.6200,26.62
2015-10-26,29.2800,29.2800,27.1600,27.68
2015-10-27,27.3900,29.1000,25.6000,28.47
2015-10-28,27.9400,30.8000,27.6500,29.36
2015-10-29,28.9900,31.9400,28.3000,31
2015-10-30,30.0900,32.1700,29.5100,31
2015-11-02,29.8000,30.4000,27.9000,27.9
2015-11-03,28.1100,28.3600,26.5000,26.67
2015-11-04,26.7700,29.3300,26.5000,29.3
2015-11-05,28.7700,30.7000,28.5100,29.52
2015-11-06,29.5200,31.2000,29.5000,29.97
2015-11-09,29.9900,30.9800,28.6000,29.65
2015-11-10,29.0500,30.4100,28.8300,29.76
2015-11-11,31.1100,32.6800,30.0000,31.07
2015-11-12,30.5500,30.8400,29.4600,29.81
2015-11-13,29.1000,29.4000,28.2100,28.56
2015-11-16,27.9700,29.5700,27.8000,29.44
2015-11-17,29.5500,30.4500,29.2100,29.82
2015-11-18,30.0500,30.3000,28.3200,28.62
2015-11-19,28.8300,29.7600,28.7000,29.6
2015-11-20,29.9100,30.9900,29.8000,30.65
2015-11-23,31.0000,32.4400,29.9300,30.09
2015-11-24,30.0100,32.3500,29.8100,32.06
2015-11-25,31.7000,32.1200,31.1700,31.76
2015-11-26,31.9100,32.8800,31.5100,32.06
2015-11-27,32.0000,32.0000,28.8500,28.85
2015-11-30,28.9900,29.5000,26.1500,29.11
2015-12-01,28.8800,29.2500,28.1100,28.98
2015-12-02,28.9800,29.4900,26.7800,27.65
2015-12-03,27.0500,28.9300,27.0500,28.93
2015-12-04,28.5400,29.2000,28.0600,28.75
2015-12-07,28.7000,29.8800,28.7000,29.27
2015-12-08,29.2800,32.2000,28.6100,32.2
