,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
000001.SZ,0.511719765,1.520020268,0.228893027,3.027203215,1.047003646,3.62101957,2.726615716,2.586767295,2.785900003,3.98683485,3.787014248,3.941752133,-1.239365321,-1.941034634,1.380584617,0.312302312,1.618348333,1.450036192,0.450947452,1.71464082,0.350683687,1.61893373,2.049787477,1.868569408,1.211715682,0.056973039,0.82689438,1.819581544,-0.136295214,0.795883221
000002.SZ,-0.214749757,0.597172565,0.948843582,2.265206239,0.484615801,1.036382449,1.033895305,2.575075928,0.377029621,0.911626605,1.21110783,2.822721445,0.309799398,0.811376896,1.116823529,2.843586196,0.119371755,0.994002484,1.393574982,2.790208784,-0.080136228,0.636816183,0.895844242,2.379065383,0.111167643,0.968942367,1.295333961,2.849982112,-0.028062797,-0.243590047
000004.SZ,-0.149839958,0.662342764,1.036907181,2.066937033,0.203635789,-0.082413949,-0.037647878,0.334775786,-0.134883482,-0.227809212,-0.179520191,0.080470142,0.064679756,-0.035613353,0.090009255,-0.217914484,-0.664987655,-0.900198205,-1.087579706,0.55551709,-0.358320462,0.156632113,0.388317887,0.088283428,-0.455888014,0.464284216,2.615747559,5.165833843,-0.195273308,-0.135517712
000005.SZ,-0.286585686,-0.435462256,-0.629742613,-0.151931775,-0.223764576,0.45238058,0.163791218,0.055696337,-0.363544732,-0.682241623,-0.361571821,0.274770559,-0.298190295,-0.564095605,-0.697146453,-1.085658234,-0.213605738,-0.592761954,-0.744123078,0.832113062,-0.265626499,-0.540865791,-0.667761639,-1.338330937,-0.174544203,1.348932508,1.47167478,1.17461519,-0.245314221,-0.129086789
000006.SZ,0.551316342,0.959635787,1.179834073,3.094180448,0.929758006,1.170116422,2.129559604,2.291418909,0.285189412,2.013527522,1.89593882,2.889896207,0.037426358,0.853000264,0.954889426,2.562717951,-0.132502085,-0.04465101,0.480472084,1.051332344,3.498872091,3.049931755,2.247690954,1.866196032,-0.943231197,-0.114321154,0.071503708,2.344436132,0.457771127,-0.543562764
000007.SZ,0.06709117,-0.036699936,-0.112384903,-0.091960168,-0.091074175,-1.240117618,-0.07561953,0.382855676,-0.081461786,0.340435024,0.609369317,0.232028036,-0.502193793,0.039580912,1.621235567,0.943941497,-0.458570347,-0.282840088,-0.493744567,-1.335940675,-0.241538695,-0.369950531,-0.518586595,0.546081404,0.320272652,0.322574148,0.635158687,2.66355452,-0.055908195,-0.038352256
000008.SZ,0.024187632,0.11589651,0.023687123,0.315376297,0.094397238,0.037689882,0.037319077,-0.016257548,0.172583263,-0.02755876,-0.02174578,0.895782687,0.070957149,0.236146234,0.420806475,0.415985018,0.076126983,0.1413114,0.143280789,0.105685677,0.382699626,0.327241867,0.418467949,0.920565966,-0.047323154,0.101263456,0.313506216,1.1431676,-0.065265428,-0.024513226
000009.SZ,0.576094665,1.019851727,1.371750589,1.80462336,0.417859069,1.038245658,1.094878328,1.177626981,0.075488084,0.190070279,0.245464772,0.64726371,0.103401066,0.024565773,1.170839026,1.096400231,0.330015974,0.891446906,0.982111317,1.094388,0.160420797,0.354387938,2.312142294,2.460896976,0.01979268,0.10179779,0.371688322,0.457226731,-0.011049577,-0.032352107
000010.SZ,-0.748370066,-1.428622771,-0.135717946,-0.529136973,-1.058128938,-1.312814487,-0.043208871,1.205793958,-0.492661179,-0.561373024,-1.561103795,-0.0169133,-1.349036483,0.29320555,0.390628681,-0.033606908,-0.073182666,-0.211677689,-0.420789781,-1.846159956,-0.058590482,0.071338295,0.037880897,0.50878928,-0.297122143,0.075753037,0.040022345,0.113272249,-0.214239845,-0.026790465
000011.SZ,-0.110659791,2.092680167,2.188509925,2.857424997,4.450939729,3.816852714,3.817250715,3.169272704,-0.550683816,0.998042985,1.861245255,3.645711018,2.492144545,2.901901094,2.704737596,2.088664407,-0.235139408,0.643935228,2.163374564,2.76930563,-0.101696764,0.089940961,0.089104683,0.881462265,0.199955804,0.048503738,-0.022398529,2.24959459,1.704618418,-0.179820945
000012.SZ,0.918419658,1.502252242,2.362674277,3.206226455,0.871966179,1.637437674,2.129034512,2.17107987,0.061568029,0.349388818,0.602791624,0.305362293,0.137497654,0.61940999,1.13743843,2.676458139,0.129556644,0.947027544,1.154099797,1.208151747,0.022143064,0.237578251,0.517334082,0.841464875,0.329958133,0.747255868,1.138487797,1.240959724,0.179006393,-0.107563392
