2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
8.8014,4.8439,3.2448,1.5826,2.671,3.2745,1.4401,0.1851,-5.3627,-3.9714,-2.3798,-1.0615,-2.7221,-2.8552,-3.7147,-4.8062,-1.834,-3.1496,-2.602,-2.2087,-4.1599,-4.1245,-3.7843,-4.2382,-5.1262,-2.4305,-2.0955,-1.757,0.3183,0.7734
4.7858,4.6366,4.6715,4.276,-0.7389,-2.5805,-3.0829,-1.2711,-0.1364,-1.5092,-0.6867,-0.97,-2.0124,-1.8709,-1.5333,-1.6775,4.4693,0.5172,0.2539,-0.3362,-7.0416,0.0981,-0.0609,0.0944,-1.6552,-4.0215,-2.3385,-1.4808,-2.5871,-9.4854
13.0351,20.3061,22.166,7.8378,-0.66,-10.6087,-8.7838,-3.0428,3.3289,-1.971,-0.0431,-4.3133,7.8533,7.0132,6.3149,-0.0615,-46.4007,-29.056,-22.3446,11.4192,21.6277,24.6825,16.6624,-13.6908,-12.7769,-4.4778,1.0478,8.1135,5.6205,-2.9294
-98.0592,-59.3104,-43.3059,110.034,-0.6555,163.8772,109.2496,21.1914,-32.8457,-191.6364,-60.7407,4.1838,24.4916,-3.2245,-61.5504,-103.4855,-0.0651,-4.0302,1.4246,163.1212,11.4569,41.8092,23.9231,-146.0127,45.0298,133.0619,105.686,88.5001,1.2016,-69.1559
-18.9413,-9.9688,-15.6231,3.1003,-2.3948,-0.1641,3.9335,-4.4619,7.6823,5.3433,1.0803,3.6994,2.1507,5.3541,5.1727,-5.327,-9.1105,-13.2749,14.342,6.8673,3.6685,3.3641,-24.2085,-9.9983,-2.0994,-1.0633,-2.0205,11.9259,-3.4133,-12.2057
-0.0208,-33.1711,-50.5998,-0.1741,31.5781,-12.1523,-0.3636,-10.1177,1.9024,4.7617,3.6988,-3.6084,-40.7266,-7.8746,29.8421,7.3671,12.797,-6.4788,-41.6715,-25.6366,4.6612,-6.0779,-8.5829,30.2294,163.3905,116.8125,108.4309,196.5222,-177.2787,-100.1774
2.8203,6.7803,2.2266,5.4113,-6.7806,-3.9675,-4.8774,-12.376,7.7489,5.0379,5.3067,15.6628,6.9394,5.7025,5.9242,-4.3292,1.3024,-1.1326,-3.166,-4.9468,17.6217,9.4886,9.1646,12.1356,-18.9733,-8.6488,8.3025,13.6165,-0.6867,-6.8142
1.2079,2.5648,2.0287,1.2302,8.7452,-0.0937,-1.9391,-4.3696,-12.1182,-8.9329,-7.8119,-1.7226,-2.1978,-0.5854,9.5489,3.0539,7.2804,10.932,-1.0444,0.2707,-3.8976,-6.0419,12.0145,8.1008,-3.8987,-4.2722,-18.057,-12.5186,-0.8408,-7.1997
-16.1423,-18.9695,-10.1059,-4.0342,-36.4208,-16.0995,1.7701,2.0263,18.656,11.7286,-16.0271,-2.6402,-29.0659,13.2654,15.5458,-0.8581,36.2078,-9.711,-12.5595,-33.7561,14.2488,6.952,11.1677,36.0937,-25.6619,4.3642,2.6307,0.3065,2.9115,-4.5967
-10.6709,-1.63,-4.9391,6.1536,25.7054,7.9631,7.5402,0.6581,-24.6718,-10.3534,-6.9528,1.8595,22.5175,10.4438,7.2717,-1.5584,-12.7111,-3.874,15.723,14.3347,-13.994,-13.1547,-32.4626,-18.3588,0.0309,-10.6098,-8.6635,2.6775,28.7422,1.4107
13.3834,6.6166,3.1338,3.2969,0.1412,0.0933,-1.9601,-4.4503,-12.0792,-11.9114,-9.8882,-10.8845,-0.5313,2.8548,3.8458,16.3751,0.079,7.2733,2.2585,-8.3219,-3.1467,-12.2785,-7.5458,-4.73,4.6726,4.3664,3.4134,0.3513,-2.7939,-11.0048
28.2951,7.2039,-2.4912,-0.8854,-35.5659,-10.7255,-2.2598,5.6075,12.0227,-16.7262,-23.1123,-8.2905,2.6037,9.161,11.4922,-1.6312,33.1484,16.8158,8.5464,6.0237,-31.9638,-6.9968,-7.1207,0.6589,-16.5683,-16.8678,-10.2641,-8.2358,11.4668,8.4573
-0.4677,-0.6878,-0.5917,-0.5202,-3.1888,-3.5425,-1.9719,-0.4423,2.5578,2.9434,1.4979,0.0987,-0.0721,0.226,0.1491,0.0513,0.0249,0.1745,0.0927,0.0125,-0.1589,-3.9691,-6.5702,-7.2474,0.2394,3.5207,5.8637,7.3899,0.2185,-0.1151
-2.9718,7.3075,9.4313,62.2514,36.8727,62.029,37.3367,-9.19,-15.688,-48.6173,-33.699,-30.1736,-29.6971,1.5066,10.7668,599.0592,69.0121,30.6684,15.9984,-578.5311,0.1312,-1.9819,-1.9663,-2.7889,-0.8045,0.0148,1.8569,2.8031,0.5699,-0.789
