2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
-6.0175,0.63,-19.96,-3.37,0,-0.61,17.64,-2.9,4.57,-4.37,-4.59,-3.54,-0.43,-0.3,-0.09,-0.21,0.27,0.1,0.2,-0.22,-0.2,-0.21,-0.77,-1.41,-0.51,-1.06,-1.37,-1.76,-0.81,-1.14
0,-0.39,8.39,2.42,2.68,-0.68,-0.54,2.04,-0.08,0.3,1.43,1.62,-0.11,0.08,0.03,0.09,-0.52,-0.78,-1.03,-2.37,-1.24,-0.72,-0.59,-0.03,0.1,-0.21,0.44,0.54,-0.22,-5.2
-0.13,7.16,8.76,12.77,2.01,-5.17,-8.04,-12.69,-1.87,-1.42,-1.28,-2.6016,0.53,1.12,1.7,-2.1388,-4.6,-6.42,-8.7,5.5504,1.72,7.85,10.48,-3.31,-0.64,2.1,16.33,37.3,2,-3.6
-0.99,-2.02,-3.85,6.09,0.07,6.18,5.82,2.31,-0.95,-8.4,-4.02,1.6,0.51,1.18,-2.29,-9.69,-0.04,-0.77,-0.91,13.09,0.19,0.6,0.69,-14.75,0.62,14,15.56,17.01,-0.2,-10.48
1.8,-1.55,6.26,3.55,0.32,0.43,4.36,-4.63,0.65,3.72,0.82,3.2,-1.01,-1.45,-1.54,-1.27,-1.01,-6.25,-4.09,-6.27,4.01,4.85,0.75,-2.4,-3.65,-3.75,-3.96,6.79,0.94,-2.3
0,0,0,0,0,-8.16,0,3.94,0.18,10.42,3.81,-0.86,-3.39,-1.93,9.03,4.34,0.92,-1.47,-14.79,-16.03,0.91,-0.98,-1.4,12.48,3.43,4.93,7.95,15.26,-1.98,-2.81
-0.08,0,0.3,0.78,-0.21,-0.46,-0.9,-1.94,0.25,0.53,0.72,8.08,0.77,1.84,2.93,-3.23,0.11,-0.39,-1.33,-2.75,1.88,1.41,1.96,6.23,-2.48,-1.6,-0.69,1.77,-0.12,-1.33
3.81,0.49,11.42,1.35,0.24,-0.69,-2.42,-4.64,-2.82,-6.54,-6.88,-4.38,0.04,-0.87,7.31,3.49,1.04,5.99,-1.53,-0.18,-0.4,-3.65,9.65,10.51,-1.24,-1.77,-12.88,-14.5,0.08,-1.61
-2.99,-23.23,0,-19.42,-3.78,-1.61,0.45,12.48,2.85,4.8,-11.91,-8.91,-5.6,6.55,13.75,-0.52,8.6,-3.02,-4.54,-14.34,0.53,1.33,2.75,17.57,-1.12,0.91,0.5,-2.24,0.35,-1.2
0.43,0.45,-6.09,7.6,27.56,11.79,11.28,2.4,-27.51,-20.97,-15.53,2.76,14.1,12.75,6.91,-10.24,-13.05,-14.87,-4.03,3.63,-1.51,-4.67,-14.87,-14.23,0.01,-1.77,-2.65,8.2,11.74,0.25
