,Date,5Y_Bid,5Y_Ask,5Y_Bid_Spread,5Y_Ask_Spread,Spread_Spread
0,2019-05-31,104.791,104.715,393.5080071634116,395.15217818248715,1.644171019075543
1,2019-05-30,105.261,105.171,383.37121585061277,385.30817104116767,1.9369551905548974
2,2019-05-29,105.306,105.209,382.40346965509065,384.49010745301854,2.0866377979278923
3,2019-05-28,105.54,105.435,377.3790291531108,379.6319612605447,2.252932107433878
5,2019-05-24,105.918,105.792,369.2902767718889,371.9827451963311,2.692468424442211
6,2019-05-23,105.859,105.776,370.55056595836527,372.32491614653236,1.774350188167091
7,2019-05-22,106.335,106.257,360.40631167872925,362.0649383657852,1.6586266870559712
8,2019-05-21,106.511,106.416,356.66902609951717,358.6854070859758,2.016380986458614
9,2019-05-20,106.239,106.143,362.44790194953845,364.49166545904745,2.043763509509006
11,2019-05-17,106.434,106.301,358.3031932664797,361.1291266282748,2.82593336179508
12,2019-05-16,106.615,106.511,354.4640457322499,356.66902609951717,2.2049803672672965
13,2019-05-15,106.298,106.172,361.1929174856736,363.8740492139359,2.681131728262301
14,2019-05-14,106.36,106.251,359.8750036709206,362.1925844062698,2.3175807353492246
15,2019-05-13,106.058,105.923,366.30306522473836,369.18351060257004,2.880445377831677
17,2019-05-10,107.058,106.959,345.09995824605494,347.1886475886625,2.0886893426075517
18,2019-05-09,106.662,106.505,353.46839477649416,356.7963138290043,3.32791905251014
19,2019-05-08,106.876,106.771,348.94152531057586,351.16131829290424,2.2197929823283857
20,2019-05-07,107.091,106.959,344.4042335957638,347.1886475886625,2.784413992898692
21,2019-05-06,107.481,107.356,336.2010945172741,338.82648623379237,2.6253917165182656
23,2019-05-03,107.723,107.626,331.12853242009515,333.160137733382,2.031605313286832
24,2019-05-02,107.448,107.348,336.89384872228806,338.9946337720196,2.1007850497315417
25,2019-05-01,107.472,107.378,336.39000265730556,338.36415652490547,1.9741538675999095
26,2019-04-30,107.718,107.618,331.2332017174584,333.32778897658966,2.094587259131231
27,2019-04-29,107.623,107.532,333.2230052311566,335.1309665405878,1.9079613094311867
29,2019-04-26,107.736,107.637,330.85641899730916,332.9296412151137,2.0732222178045276
30,2019-04-25,107.41,107.313,337.69187590056794,339.73045268099014,2.038576780422204
31,2019-04-24,107.496,107.402,335.8862889784857,337.859923957866,1.9736349793802788
32,2019-04-23,107.755,107.65,330.4587842515402,332.6572719709809,2.1984877194407204
33,2019-04-22,107.577,107.474,334.18723182591395,336.3480214618948,2.160789635980848
35,2019-04-18,107.689,107.598,331.84039639595096,333.74698125034905,1.9065848543980906
36,2019-04-17,107.595,107.49,333.80986799923255,336.012204990582,2.202336991349455
37,2019-04-16,107.706,107.599,331.4844313567709,333.72601945920223,2.241588102431308
38,2019-04-15,107.774,107.707,330.0612319932656,331.4634942956011,1.4022623023354868
