date,close,open,high,low
2018-12-31,"4,984.22","4,984.22","4,984.22","4,984.22"
2018-12-28,"4,941.61","4,941.61","4,941.61","4,941.61"
2018-12-27,"4,946.94","4,946.94","4,946.94","4,946.94"
2018-12-26,"4,904.49","4,904.49","4,904.49","4,904.49"
2018-12-24,"4,672.66","4,672.66","4,672.66","4,672.66"
2018-12-21,"4,802.51","4,802.51","4,802.51","4,802.51"
2018-12-20,"4,903.46","4,903.46","4,903.46","4,903.46"
2018-12-19,"4,981.92","4,981.92","4,981.92","4,981.92"
2018-12-18,"5,059.34","5,059.34","5,059.34","5,059.34"
2018-12-17,"5,058.58","5,058.58","5,058.58","5,058.58"
2018-12-14,"5,165.60","5,165.60","5,165.60","5,165.60"
2018-12-13,"5,265.46","5,265.46","5,265.46","5,265.46"
2018-12-12,"5,265.53","5,265.53","5,265.53","5,265.53"
2018-12-11,"5,237.10","5,237.10","5,237.10","5,237.10"
2018-12-10,"5,238.70","5,238.70","5,238.70","5,238.70"
2018-12-07,"5,229.44","5,229.44","5,229.44","5,229.44"
2018-12-06,"5,353.43","5,353.43","5,353.43","5,353.43"
2018-12-04,"5,359.91","5,359.91","5,359.91","5,359.91"
2018-12-03,"5,538.86","5,538.86","5,538.86","5,538.86"
2018-11-30,"5,478.91","5,478.91","5,478.91","5,478.91"
2018-11-29,"5,433.49","5,433.49","5,433.49","5,433.49"
2018-11-28,"5,444.12","5,444.12","5,444.12","5,444.12"
2018-11-27,"5,321.52","5,321.52","5,321.52","5,321.52"
2018-11-26,"5,304.17","5,304.17","5,304.17","5,304.17"
2018-11-23,"5,222.43","5,222.43","5,222.43","5,222.43"
2018-11-21,"5,256.61","5,256.61","5,256.61","5,256.61"
2018-11-20,"5,240.23","5,240.23","5,240.23","5,240.23"
2018-11-19,"5,336.70","5,336.70","5,336.70","5,336.70"
2018-11-16,"5,426.86","5,426.86","5,426.86","5,426.86"
2018-11-15,"5,414.43","5,414.43","5,414.43","5,414.43"
2018-11-14,"5,355.94","5,355.94","5,355.94","5,355.94"
2018-11-13,"5,395.37","5,395.37","5,395.37","5,395.37"
2018-11-12,"5,403.19","5,403.19","5,403.19","5,403.19"
2018-11-09,"5,511.79","5,511.79","5,511.79","5,511.79"
2018-11-08,"5,562.00","5,562.00","5,562.00","5,562.00"
2018-11-07,"5,573.06","5,573.06","5,573.06","5,573.06"
2018-11-06,"5,457.25","5,457.25","5,457.25","5,457.25"
2018-11-05,"5,422.88","5,422.88","5,422.88","5,422.88"
2018-11-02,"5,392.53","5,392.53","5,392.53","5,392.53"
2018-11-01,"5,426.33","5,426.33","5,426.33","5,426.33"
2018-10-31,"5,369.49","5,369.49","5,369.49","5,369.49"
2018-10-30,"5,311.67","5,311.67","5,311.67","5,311.67"
2018-10-29,"5,229.28","5,229.28","5,229.28","5,229.28"
2018-10-26,"5,263.74","5,263.74","5,263.74","5,263.74"
2018-10-25,"5,356.54","5,356.54","5,356.54","5,356.54"
2018-10-24,"5,258.61","5,258.61","5,258.61","5,258.61"
2018-10-23,"5,426.08","5,426.08","5,426.08","5,426.08"
2018-10-22,"5,455.88","5,455.88","5,455.88","5,455.88"
2018-10-19,"5,479.30","5,479.30","5,479.30","5,479.30"
2018-10-18,"5,481.13","5,481.13","5,481.13","5,481.13"
2018-10-17,"5,560.62","5,560.62","5,560.62","5,560.62"
2018-10-16,"5,561.80","5,561.80","5,561.80","5,561.80"
2018-10-15,"5,444.61","5,444.61","5,444.61","5,444.61"
2018-10-12,"5,476.83","5,476.83","5,476.83","5,476.83"
2018-10-11,"5,399.54","5,399.54","5,399.54","5,399.54"
